created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/3/17 19:05,"@POTUS Much of Puerto Rico is still without power, water, food, and medical attention. Here is how you can help:‰Û_ https://t.co/6JZ9bs8tKs",https://twitter.com/SenBennetCO/status/915291733239443456,5,19,40,SenBennetCO,B001267,D,CO
10/3/17 18:30,"When TX and FL needed aid, did @POTUS also complain about the budget? Puerto Ricans are our fellow Americans. And t‰Û_ https://t.co/xfSaR2jC9I",https://twitter.com/SenBennetCO/status/915282983631904769,80,210,634,SenBennetCO,B001267,D,CO
10/3/17 17:06,"#DACA deadline is in 2 days. If you are applying, your renewal request must reach the @USCIS office by Oct 5‰ÛÓso sen‰Û_ https://t.co/vsjFTNel9r",https://twitter.com/SenBennetCO/status/915261766434729985,7,76,51,SenBennetCO,B001267,D,CO
10/3/17 16:55,Thanks to Kevin Heiner from SW Conservation Corps for testimony on #21CSC to increase natl service opps for youth &amp;‰Û_ https://t.co/ik1muvkoTT,https://twitter.com/SenBennetCO/status/915259127802335232,0,13,30,SenBennetCO,B001267,D,CO
10/2/17 22:51,"W/ @POTUS traveling to PR tomorrow, reiterating call for swift action &amp; aid, among more requests in letter last wk: https://t.co/VJAmgCGw6d",https://twitter.com/SenBennetCO/status/914986232962322432,14,26,114,SenBennetCO,B001267,D,CO
10/2/17 22:29,"Cosponsored bipar KIDS Act to extend CHIP funding for 90,000 kids in Colorado. Unacceptable that we‰Ûªve let this fun‰Û_ https://t.co/mOcYOfgdHc",https://twitter.com/SenBennetCO/status/914980642110283776,13,125,388,SenBennetCO,B001267,D,CO
10/2/17 19:16,Thanks to tireless first responders &amp; law enforcement for work you continue to do to help victims &amp; comfort communi‰Û_ https://t.co/eHlcxhqz7W,https://twitter.com/SenBennetCO/status/914932086431154176,8,17,82,SenBennetCO,B001267,D,CO
10/2/17 11:11,Devastating news. Our hearts go out to all of the victims and their families in Las Vegas.,https://twitter.com/SenBennetCO/status/914810087704793088,53,37,287,SenBennetCO,B001267,D,CO
10/1/17 19:59,Unacceptable that funding for CHIP &amp; community health centers expired last night. We can't leave Coloradans in limbo https://t.co/dfdAiJW7wR,https://twitter.com/SenBennetCO/status/914580615168708608,37,201,489,SenBennetCO,B001267,D,CO
9/29/17 22:38,Using budget process to circumvent debate about #ArcticRefuge drilling is unacceptable. Will continue fight to prot‰Û_ https://t.co/aUhtAO43Ts,https://twitter.com/SenBennetCO/status/913895872513105920,10,70,186,SenBennetCO,B001267,D,CO
9/29/17 22:19,Asked @SecretaryZinke for rapid response to invasive mussel species in CO Reservoir w/ @RepJaredPolis &amp; CO lawmakers https://t.co/GETVMjQQeu,https://twitter.com/SenBennetCO/status/913890956381949952,3,18,44,SenBennetCO,B001267,D,CO
9/29/17 19:19,Hateful act stands contrary to all that makes us strong. Grateful for example Academy leaders set by making clear t‰Û_ https://t.co/E1JXpMv6CQ,https://twitter.com/SenBennetCO/status/913845705093074945,12,64,351,SenBennetCO,B001267,D,CO
9/28/17 16:27,Have long called for bipar process on #healthcare reform. Hopeful deal will be reached that‰Ûªs responsive to testimo‰Û_ https://t.co/kqbO6V8LH0,https://twitter.com/SenBennetCO/status/913440137127890946,23,40,174,SenBennetCO,B001267,D,CO
9/28/17 0:32,Sent @POTUS bipartisan letter requesting robust refugee admissions goal; exact opposite of today's announcement. https://t.co/1PBIlXgmPO,https://twitter.com/SenBennetCO/status/913199772953178112,27,66,275,SenBennetCO,B001267,D,CO
9/28/17 0:15,This betrays American values &amp; does nothing to strengthen security. Admin must reconsider &amp; consult with Congress.‰Û_ https://t.co/xcvF0MNFp7,https://twitter.com/SenBennetCO/status/913195325405503488,16,45,112,SenBennetCO,B001267,D,CO
9/27/17 23:02,"Our fellow Americans need us. We will push in Congress &amp; @POTUS must do everything in his power to help PR recover.https://t.co/nIY0xVBGp9",https://twitter.com/SenBennetCO/status/913177054249717760,26,73,292,SenBennetCO,B001267,D,CO
9/27/17 22:11,Worked with @SenatorEnzi to ensure continuation of successful &amp; cost-effective program to improve health &amp; safety i‰Û_ https://t.co/g5KeOVVsAk,https://twitter.com/SenBennetCO/status/913164099709751297,4,10,38,SenBennetCO,B001267,D,CO
