Date,Filter ID,Mass (mg),,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'07-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'08-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41669,0.097812,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41669,0.097811,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41666,0.098284,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'09-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'10-Apr-2020',41668,0.098008,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41666,0.098287,,,,,,,,,,,,,,,,,,,,,
'13-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
